卡牌ID,卡牌名（日文）,卡牌名（中文）,扩展标记,收藏编号,进化阶段/卡牌种类,规则,特殊分类,进化前,HP,属性,弱点,抵抗力,撤退费用,招式/特性名,费用,伤害,效果说明
725,ブロスター,钢炮臂虾,M1S,020/063,宝可梦/1阶进化,无,无,铁臂枪虾,130,水,雷,无,2,[特性]巴库利洛-多,无,无,自己的番，这宝可梦战斗场从备战区返次时，1次可以使用。自己的手牌从「基本【水】能量」最多2张选择，这宝可梦附上。
725,ブロスター,钢炮臂虾,M1S,020/063,宝可梦/1阶进化,无,无,铁臂枪虾,130,水,雷,无,2,水流拉恩奇亚-,水水水,210,这宝可梦附有能量，全部弃牌区。
726,メッソン,泪眼蜥,M1S,021/063,宝可梦/基础,无,无,无,70,水,雷,无,1,带有,水,30,硬币1次掷反面的话，这个招式失败。
727,ジメレオン,变涩蜥,M1S,022/063,宝可梦/1阶进化,无,无,泪眼蜥,100,水,雷,无,1,无,水,30×,硬币2次掷，正面的数×30点伤害。
728,インテレオン,千面避役,M1S,023/063,宝可梦/2阶进化,无,无,变涩蜥,150,水,雷,无,1,和,水,无,双方的场上的宝可梦（这宝可梦除外）的其中从，剩余HP一番少宝可梦1只选择，【昏厥】。
728,インテレオン,千面避役,M1S,023/063,宝可梦/2阶进化,无,无,变涩蜥,150,水,雷,无,1,水射击,水,110,这宝可梦附有能量1个选择，弃牌区。
729,ユキハミ,雪吞虫,M1S,024/063,宝可梦/基础,无,无,无,50,水,钢,无,1,无,水,无,硬币1次掷正面的话，下一个对手的次合，这宝可梦招式的伤害和效果不受。
730,モスノウ,雪绒蛾,M1S,025/063,宝可梦/1阶进化,无,无,雪吞虫,110,水,钢,无,2,无,水,无,对手的宝可梦全員，各自20点伤害。对手的战斗宝可梦【睡眠】。［备战区弱点・抵抗力不计算。］
731,コオリッポ,冰砌鹅,M1S,026/063,宝可梦/基础,无,无,无,110,水,钢,无,1,带有头锤,●,20,硬币1次掷正面的话，对手的战斗宝可梦【麻痹】。
731,コオリッポ,冰砌鹅,M1S,026/063,宝可梦/基础,无,无,无,110,水,钢,无,1,撞击,水●●,90,无
732,コイル,小磁怪,M1S,027/063,宝可梦/基础,无,无,无,70,雷,斗,无,1,光束,雷,10,无
733,レアコイル,三合一磁怪,M1S,028/063,宝可梦/1阶进化,无,无,小磁怪,90,雷,斗,无,2,电击,雷,30,硬币1次掷正面的话，对手的战斗宝可梦【麻痹】。
734,ジバコイル,自爆磁怪,M1S,029/063,宝可梦/2阶进化,无,无,三合一磁怪,160,雷,斗,无,3,阿帕-火花,雷,50,这个次合，这宝可梦「三合一磁怪」从進化的话，120点伤害追加。
734,ジバコイル,自爆磁怪,M1S,029/063,宝可梦/2阶进化,无,无,三合一磁怪,160,雷,斗,无,3,夫猛攻博鲁托,雷雷,160,下一个自己的次合，这宝可梦「夫猛攻博鲁托」不能使用。
735,ライコウ,雷公,M1S,030/063,宝可梦/基础,无,无,无,120,雷,斗,无,1,电夫欧-鲁,雷雷,30,自己的场上方【雷】能量4个以上的话，90点伤害追加。
736,ラクライ,落雷兽,M1S,031/063,宝可梦/基础,无,无,无,70,雷,斗,无,1,在,雷,30,这宝可梦也对10点伤害。
737,メガライボルトex,超级雷电兽ex,M1S,032/063,宝可梦/1阶进化,超级进化ex,无,落雷兽,330,雷,斗,无,无,夫猛攻光线,雷雷,120,下一个对手的次合，这宝可梦【基础】宝可梦从招式的伤害不受。
737,メガライボルトex,超级雷电兽ex,M1S,032/063,宝可梦/1阶进化,超级进化ex,无,落雷兽,330,雷,斗,无,无,拉伊欧托布拉星,雷雷雷,200,可以选择，这宝可梦附有能量全部弃牌区，130点伤害追加。
738,パチリス,帕奇利兹,MC,247/742,宝可梦/基础,无,无,无,70,雷,斗,无,1,无,雷,10,下一个对手的次合，这个招式受到宝可梦，对手手牌从能量附上每当，该宝可梦伤害指示物8个放置。
739,エリキテル,伞电蜥,M1S,034/063,宝可梦/基础,无,无,无,70,雷,斗,无,1,达布鲁,●,10×,硬币2次掷，正面的数×10点伤害。
740,エレザード,电伞查特,M1S,035/063,宝可梦/1阶进化,无,无,伞电蜥,120,雷,斗,无,1,无,●,20,对手的战斗宝可梦【混乱】。
740,エレザード,电伞查特,M1S,035/063,宝可梦/1阶进化,无,无,伞电蜥,120,雷,斗,无,1,头槌博鲁托,雷●,70,无
741,ケーシィ,凯西,M1S,036/063,宝可梦/基础,无,无,无,50,超,恶,斗,1,特雷波-托阿塔库,超,10,这宝可梦备战区宝可梦和互换。
742,ユンゲラー,勇基拉,M1S,037/063,宝可梦/1阶进化,无,无,凯西,80,超,恶,斗,1,[特性]精神抽牌,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的牌库2张抽牌。
742,ユンゲラー,勇基拉,M1S,037/063,宝可梦/1阶进化,无,无,凯西,80,超,恶,斗,1,念力,超,30,无
743,フーディン,胡地,M1S,038/063,宝可梦/2阶进化,无,无,勇基拉,140,超,恶,斗,1,[特性]精神抽牌,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的牌库3张抽牌。
743,フーディン,胡地,M1S,038/063,宝可梦/2阶进化,无,无,勇基拉,140,超,恶,斗,1,哈恩多力量,超,无,自己的手牌的张数×2个的伤害指示物，对手的战斗宝可梦放置。
744,ルージュラ,迷唇姐,M1S,039/063,宝可梦/基础,无,无,无,110,超,恶,斗,1,精神强念,超超,30,对手的战斗宝可梦附有能量的数×30点伤害追加。
745,ラルトス,拉鲁拉丝,M2a,069/193,宝可梦/基础,无,无,无,70,超,恶,斗,1,取来,●,无,自己的牌库1张抽牌。
745,ラルトス,拉鲁拉丝,M2a,069/193,宝可梦/基础,无,无,无,70,超,恶,斗,1,头锤,超,10,无
746,キルリア,奇鲁莉安,M2a,070/193,宝可梦/1阶进化,无,无,拉鲁拉丝,100,超,恶,斗,1,呼唤萨伊恩,超,无,自己的牌库从宝可梦最多3张选择，给对手查看，加入手牌。然后洗牌库。
746,キルリア,奇鲁莉安,M2a,070/193,宝可梦/1阶进化,无,无,拉鲁拉丝,100,超,恶,斗,1,精神射击,超,30,无
747,メガサーナイトex,超级沙奈朵ex,M2a,071/193,宝可梦/2阶进化,超级进化ex,无,奇鲁莉安,360,超,恶,斗,2,无,超,无,自己的备战区宝可梦全員，牌库从「基本【超】能量」1张各附上。然后洗牌库。
747,メガサーナイトex,超级沙奈朵ex,M2a,071/193,宝可梦/2阶进化,超级进化ex,无,奇鲁莉安,360,超,恶,斗,2,超级希恩夫欧尼阿,超,50×,自己的宝可梦全員附有【超】能量的数×50点伤害。
748,ヌケニン,脱壳忍者,M1S,043/063,宝可梦/1阶进化,无,无,土居忍士,60,超,恶,斗,无,[特性]也,无,无,这宝可梦，对手的「宝可梦【ex】」从招式的伤害受【昏厥】也，对手奖赏卡和。
748,ヌケニン,脱壳忍者,M1S,043/063,宝可梦/1阶进化,无,无,土居忍士,60,超,恶,斗,无,伤害比-托,超,20×,对手的战斗宝可梦放置有伤害指示物的数×20点伤害。
749,バネブー,跳跳猪,MC,305/742,宝可梦/基础,无,无,无,70,超,恶,斗,1,托利普鲁旋转,超,10×,硬币3次掷，正面的数×10点伤害。
750,ブーピッグ,噗噗猪,MC,306/742,宝可梦/1阶进化,无,无,跳跳猪,120,超,恶,斗,2,[特性]艾纳吉-斯特普,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的牌库从上方4张查看，该其中从基本能量卡任意选择，自己的宝可梦以任意方式附上。残的卡牌库放次并洗切。
750,ブーピッグ,噗噗猪,MC,306/742,宝可梦/1阶进化,无,无,跳跳猪,120,超,恶,斗,2,无,超●●,60,无
751,ゼルネアス,哲尔尼亚斯,M1S,046/063,宝可梦/基础,无,无,无,120,超,钢,无,1,吉欧盖-托,超,无,自己的牌库从【超】属性的【基础】宝可梦最多3张选择，备战区放出。然后洗牌库。
751,ゼルネアス,哲尔尼亚斯,M1S,046/063,宝可梦/基础,无,无,无,120,超,钢,无,1,布拉伊托角,超超●,120,下一个自己的次合，这宝可梦「布拉伊托角」不能使用。
752,ボチ,墓仔狗,MC,349/742,宝可梦/基础,无,无,无,80,超,恶,斗,3,踩踏,超,10,无
752,ボチ,墓仔狗,MC,349/742,宝可梦/基础,无,无,无,80,超,恶,斗,3,和,超●,40,这宝可梦也对10点伤害。
753,ハカドッグ,墓扬犬,MC,350/742,宝可梦/1阶进化,无,无,墓仔狗,140,超,恶,斗,3,霍拉-咬击,超,30,反面出最多掷硬币，正面的数份，对手的手牌从正面見在选择，该卡的正面查看，对手的牌库放次并洗切。
753,ハカドッグ,墓扬犬,MC,350/742,宝可梦/1阶进化,无,无,墓仔狗,140,超,恶,斗,3,猛撞,超超●,130,无
754,メガラティアスex,超级拉帝亚斯ex,M1S,049/063,宝可梦/基础,超级进化ex,无,无,280,龙,无,无,1,无,●,40,可以选择，这宝可梦备战区宝可梦和互换。
754,メガラティアスex,超级拉帝亚斯ex,M1S,049/063,宝可梦/基础,超级进化ex,无,无,280,龙,无,无,1,米拉-吉尤伊恩脉冲,火超●,300,这宝可梦附有能量，全部弃牌区。
755,ラティオス,拉帝欧斯,M1S,050/063,宝可梦/基础,无,无,无,130,龙,无,无,1,[特性]拉星阿希斯托,无,无,自己的番，自己的「超级拉特伊阿斯【ex】」备战区从战斗场出时，1次可以使用。自己的备战区宝可梦附有能量任意选择，战斗宝可梦改附。
755,ラティオス,拉帝欧斯,M1S,050/063,宝可梦/基础,无,无,无,130,龙,无,无,1,龙爪,水超●,130,无
756,メガガルーラex,超级袋兽ex,M1S,051/063,宝可梦/基础,超级进化ex,无,无,300,无,斗,无,3,[特性]达希尤,无,无,这宝可梦战斗场的话，自己的番1次可以使用。自己的牌库2张抽牌。这个特性其他「达希尤」使用过番不能使用。
756,メガガルーラex,超级袋兽ex,M1S,051/063,宝可梦/基础,超级进化ex,无,无,300,无,斗,无,3,玛希恩嘎恩科恩博,●●●,200,反面出最多掷硬币，正面的数×50点伤害追加。
757,デリバード,信使鸟,M1S,052/063,宝可梦/基础,无,无,无,90,无,雷,斗,1,夫阿斯托吉夫托,●,无,这个招式，先攻玩家的最初的番在也可以使用。自己的牌库从任意卡牌1张选择，加入手牌。然后洗牌库。
757,デリバード,信使鸟,M1S,052/063,宝可梦/基础,无,无,无,90,无,雷,斗,1,拍击,●●,30,无
758,ミミロル,卷卷耳,MC,593/742,宝可梦/基础,无,无,无,70,无,斗,无,1,无,●,无,下一个对手的次合，这个招式受到宝可梦使用招式的伤害「-20」。
758,ミミロル,卷卷耳,MC,593/742,宝可梦/基础,无,无,无,70,无,斗,无,1,斯基普,●,10,无
759,ミミロップ,长耳兔,MC,594/742,宝可梦/1阶进化,无,无,卷卷耳,110,无,斗,无,1,和踢,●,无,对手的备战区宝可梦1只，50点伤害。［备战区弱点・抵抗力不计算。］
759,ミミロップ,长耳兔,MC,594/742,宝可梦/1阶进化,无,无,卷卷耳,110,无,斗,无,1,无,●●,60,无
760,ヌイコグマ,童偶熊,M1S,055/063,宝可梦/基础,无,无,无,70,无,斗,无,2,无,●,10,无
760,ヌイコグマ,童偶熊,M1S,055/063,宝可梦/基础,无,无,无,70,无,斗,无,2,跳跃乱撞,●●,20,无
761,キテルグマ,穿着熊,M1S,056/063,宝可梦/1阶进化,无,无,童偶熊,130,无,斗,无,3,无,●●,50,无
761,キテルグマ,穿着熊,M1S,056/063,宝可梦/1阶进化,无,无,童偶熊,130,无,斗,无,3,拉利阿托,●●●,100,硬币2次掷，全部正面的话，100点伤害追加。
762,ブルー,布卢,MC,303/742,宝可梦/基础,无,无,无,70,超,钢,无,1,撞击,超●,20,无
763,グランブル,布卢皇,MC,304/742,宝可梦/1阶进化,无,无,布卢,130,超,钢,无,2,咬住,超●,50,无
763,グランブル,布卢皇,MC,304/742,宝可梦/1阶进化,无,无,布卢,130,超,钢,无,2,和,超超●,90,对手的战斗宝可梦伤害指示物放置有的话，90点伤害追加。
764,クレセリア,克雷色利亚,MBD,003/021,宝可梦/基础,无,无,无,120,超,恶,斗,1,无,超,无,自己的牌库从「基本【超】能量」最多2张选择，这宝可梦附上。然后洗牌库。
764,クレセリア,克雷色利亚,MBD,003/021,宝可梦/基础,无,无,无,120,超,恶,斗,1,欧-洛拉光束,超超●,90,无
765,メロエッタ,美洛耶塔,MBD,022/021,宝可梦/基础,无,无,无,90,超,恶,斗,1,、的梅洛德伊,超,无,自己的备战区的【超】宝可梦1只的HP「120」恢复。
765,メロエッタ,美洛耶塔,MBD,022/021,宝可梦/基础,无,无,无,90,超,恶,斗,1,魔法射击,超●,50,无
766,メガディアンシーex,超级蒂安希ex,MBD,005/021,宝可梦/基础,超级进化ex,无,无,270,超,钢,无,1,[特性]达伊亚科-托,无,无,这宝可梦受到招式的伤害「-30」。
766,メガディアンシーex,超级蒂安希ex,MBD,005/021,宝可梦/基础,超级进化ex,无,无,270,超,钢,无,1,嘎-拉恩多光线,超超,120×,这宝可梦附有能量最多2张弃牌区，该张数×120点伤害。
767,ミミッキュ,谜拟Ｑ,MBD,006/021,宝可梦/基础,无,无,无,70,超,钢,无,1,呼唤伙伴,●,无,自己的牌库从【基础】宝可梦1张选择，备战区放出。然后洗牌库。
767,ミミッキュ,谜拟Ｑ,MBD,006/021,宝可梦/基础,无,无,无,70,超,钢,无,1,抓,超,20,无
768,マホミル,小仙奶,MBD,007/021,宝可梦/基础,无,无,无,50,超,钢,无,1,多光线恩基斯,超,10,这宝可梦的HP「10」恢复。
769,マホイップ,霜奶仙,MBD,008/021,宝可梦/1阶进化,无,无,小仙奶,90,超,钢,无,1,斯伊-兹萨-库鲁,超,20×,自己的场上的宝可梦的数×20点伤害。
770,ゴース,鬼斯,MC,442/742,宝可梦/基础,无,无,无,70,恶,斗,无,1,和,恶,10,无
771,ゴースト,鬼斯通,MC,444/742,宝可梦/1阶进化,无,无,鬼斯,100,恶,斗,无,1,霍洛乌射击,恶,40,无
772,メガゲンガーex,超级耿鬼ex,MBG,003/021,宝可梦/2阶进化,超级进化ex,无,鬼斯通,350,恶,斗,无,2,[特性],无,无,这宝可梦期间，自己的【恶】宝可梦，对手的「宝可梦【ex】」从招式的伤害受【昏厥】时，被拿取奖赏卡1张减少。这个特性的效果不叠加。
772,メガゲンガーex,超级耿鬼ex,MBG,003/021,宝可梦/2阶进化,超级进化ex,无,鬼斯通,350,恶,斗,无,2,欧伊多盖伊鲁,恶恶,230,这宝可梦附有能量1个选择，备战区宝可梦改附。
773,ヤミカラス,黑暗鸦,MBG,004/021,宝可梦/基础,无,无,无,60,恶,雷,斗,1,无,恶,10,硬币1次掷正面的话，20点伤害追加。
774,ドンカラス,乌鸦头头,MBG,005/021,宝可梦/1阶进化,无,无,黑暗鸦,130,恶,雷,斗,1,、的,恶,30,无
774,ドンカラス,乌鸦头头,MBG,005/021,宝可梦/1阶进化,无,无,黑暗鸦,130,恶,雷,斗,1,斯纳伊普羽毛,恶恶●,无,这宝可梦附有能量2个弃牌区，对手的宝可梦1只，120点伤害。［备战区弱点・抵抗力不计算。］
775,ヤミラミ,勾魂眼,MBG,006/021,宝可梦/基础,无,无,无,80,恶,草,无,1,爪,恶,20,自己的备战区【恶】属性的【2阶进化】宝可梦的话，70点伤害追加。
776,アブソル,阿勃梭鲁,MBG,007/021,宝可梦/基础,无,无,无,110,恶,草,无,1,踢,●,无,自己的牌库2张抽牌。
776,アブソル,阿勃梭鲁,MBG,007/021,宝可梦/基础,无,无,无,110,恶,草,无,1,黑暗切割,恶●,60,无
777,ムゲンダイナ,无极汰那,MBG,008/021,宝可梦/基础,无,无,无,150,恶,斗,无,2,无,恶恶,50,场上出竞技场卡弃牌区。
777,ムゲンダイナ,无极汰那,MBG,008/021,宝可梦/基础,无,无,无,150,恶,斗,无,2,力量猛攻,恶恶恶,130,硬币1次掷反面的话，下一个自己的次合，这宝可梦招式不能使用。
778,ナゾノクサ,走路草,M2,001/080,宝可梦/基础,无,无,无,50,草,火,无,1,塔内,草,20,无
779,クサイハナ,臭臭花,M2,002/080,宝可梦/1阶进化,无,无,走路草,70,草,火,无,1,无,草,20,双方的备战区宝可梦全員也对，各自20点伤害。［备战区弱点・抵抗力不计算。］
780,ラフレシア,霸王花,M2,003/080,宝可梦/2阶进化,无,无,臭臭花,150,草,火,无,2,无,草,30,对手的战斗宝可梦【其中毒】和【睡眠】。
780,ラフレシア,霸王花,M2,003/080,宝可梦/2阶进化,无,无,臭臭花,150,草,火,无,2,花,草,60,这个次合，这宝可梦的HP次復的话，120点伤害追加。
781,メガヘラクロスex,超级赫拉克罗斯ex,M2,004/080,宝可梦/基础,超级进化ex,无,无,280,草,火,无,2,帕恩兹阿-角,草草,100,上一个对手的次合，这宝可梦受到招式的伤害和相同追加伤害。
781,メガヘラクロスex,超级赫拉克罗斯ex,M2,004/080,宝可梦/基础,超级进化ex,无,无,280,草,火,无,2,、,草草草,170,对手的牌库从上方2张弃牌区。
782,ハスボー,莲叶童子,M2,005/080,宝可梦/基础,无,无,无,70,草,火,无,1,头锤,草●,30,无
783,ハスブレロ,莲帽小童,M2,006/080,宝可梦/1阶进化,无,无,莲叶童子,90,草,火,无,1,超级多光线恩,草●,30,这宝可梦的HP「30」恢复。
784,ルンパッパ,乐天河童,M2,007/080,宝可梦/2阶进化,无,无,莲帽小童,160,草,火,无,2,[特性]艾基萨伊托治疗,无,无,自己的场上方【草】属性的「超级进化【ex】」的话，自己的番1次可以使用。自己的宝可梦1只的HP「60」恢复。
784,ルンパッパ,乐天河童,M2,007/080,宝可梦/2阶进化,无,无,莲帽小童,160,草,火,无,2,无,草●,120,无
785,ゲノセクト,盖诺赛克特,M2,008/080,宝可梦/基础,无,无,无,120,草,火,无,2,巴古兹加农炮,草,无,对手的宝可梦1只，这宝可梦附有【草】能量的数×20点伤害。［备战区弱点・抵抗力不计算。］
785,ゲノセクト,盖诺赛克特,M2,008/080,宝可梦/基础,无,无,无,120,草,火,无,2,斯皮-多阿塔库,草草●,110,无
786,マメバッタ,豆蟋蟀,M2,009/080,宝可梦/基础,无,无,无,50,草,火,无,1,无,草,10×,硬币3次掷，正面的数×10点伤害。
787,エクスレッグ,烈腿蝗,M2,010/080,宝可梦/1阶进化,无,无,豆蟋蟀,120,草,火,无,1,无,草,30,无
